
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1955"	"5.517"	"0.311"	"5.998"	"122.854"	"133.04"	"59.347"	"70.07"	"68.115"	"152.576"	"208.23"	"18.162"	"8.772"
"1956"	"1.835"	"1.142"	"0.25"	"54.363"	"28.5"	"117.934"	"79.179"	"48.816"	"128.807"	"354.915"	"93.392"	"5.862"
"1957"	"0"	"0.842"	"16.285"	"33.211"	"211.953"	"112.628"	"35.199"	"35.12"	"42.774"	"176.873"	"48.844"	"1.852"
"1958"	"6.453"	"1.389"	"3.784"	"120.677"	"188.067"	"84.584"	"73.237"	"172.495"	"126.39"	"148.017"	"86.156"	"4.027"
"1959"	"0"	"8.045"	"0"	"32"	"102.602"	"136.986"	"63.722"	"132.568"	"176.568"	"149.157"	"48.325"	"12.487"
"1960"	"0.523"	"0.073"	"9.318"	"31.055"	"123.566"	"58.491"	"99.318"	"48.933"	"170.278"	"148.925"	"113.455"	"1.145"
"1961"	"5.223"	"6.141"	"3.088"	"69.327"	"159.254"	"103.529"	"95.529"	"87.827"	"82.715"	"177.669"	"47.741"	"3.135"
"1962"	"0.506"	"14.933"	"14.601"	"115.129"	"157.335"	"52.888"	"55.25"	"96.078"	"161.533"	"220.547"	"14.377"	"84.632"
"1963"	"12.413"	"0"	"4.661"	"96.553"	"93.001"	"66.805"	"42.368"	"125.231"	"128.228"	"252.084"	"29.05"	"15.582"
"1964"	"0"	"0"	"0.198"	"21.119"	"82.716"	"81.431"	"252.139"	"86.03"	"203.33"	"164.069"	"189.751"	"8.244"
"1965"	"3.236"	"0"	"1.632"	"45.35"	"41.666"	"56.276"	"58.234"	"177.355"	"47.534"	"27.817"	"57.657"	"39.331"
"1966"	"1.186"	"0"	"1.063"	"36.55"	"170.966"	"82.289"	"102.126"	"83.367"	"233.33"	"204.544"	"238.716"	"28.792"
"1967"	"18.897"	"0"	"11.983"	"16.61"	"86.387"	"84.535"	"193.316"	"63.303"	"34.257"	"97.646"	"49.784"	"39.743"
"1968"	"0"	"14.474"	"23.752"	"52.127"	"92.464"	"104.156"	"56.852"	"41.535"	"196.2"	"100.938"	"31.792"	"11.022"
"1969"	"0"	"0.234"	"4.145"	"85.424"	"166.676"	"46.446"	"72.577"	"157.945"	"44.444"	"192.879"	"167.389"	"82.543"
"1970"	"0.161"	"7.97"	"3.061"	"28.795"	"194.109"	"98.476"	"83.569"	"84.992"	"80.435"	"247.774"	"32.835"	"1.012"
"1971"	"0.29"	"2.697"	"2.621"	"53.152"	"160.534"	"32.736"	"43.561"	"169.147"	"150.408"	"157.742"	"26.322"	"26.446"
"1972"	"0.199"	"0"	"0"	"21.499"	"212.747"	"88.312"	"45.086"	"34.565"	"159.653"	"174.294"	"42.131"	"72.444"
"1973"	"0"	"0"	"0"	"10.898"	"69.963"	"75.697"	"91.095"	"124.596"	"155.25"	"211.976"	"48.926"	"22.273"
"1974"	"0"	"0"	"0"	"26.881"	"160.66"	"17.467"	"128.706"	"48.027"	"230.727"	"165.509"	"10.117"	"0.321"
"1975"	"0"	"3.909"	"11.139"	"27.278"	"124.758"	"83.668"	"190.65"	"101.708"	"135.089"	"188.774"	"129.298"	"5.794"
"1976"	"0"	"0"	"0.25"	"111.144"	"69.869"	"20.723"	"51.047"	"111.407"	"47.691"	"69.547"	"146.723"	"1.293"
"1977"	"0"	"1.236"	"32.9"	"89.79"	"155.89"	"115.038"	"45.754"	"97.665"	"101.511"	"295.308"	"102.973"	"0.217"
"1978"	"0"	"12.295"	"2.704"	"65.436"	"107.629"	"45.54"	"95.808"	"62.759"	"153.486"	"97.778"	"68.442"	"37.234"
"1979"	"0"	"37.728"	"4.424"	"33.353"	"89.355"	"167.944"	"96.569"	"75.04"	"233.922"	"171.926"	"128.213"	"1.079"
"1980"	"0"	"0"	"3.223"	"52.231"	"126.076"	"70.966"	"62.857"	"58.546"	"177.481"	"122.982"	"37.018"	"7.719"
"1981"	"0.901"	"0"	"72.321"	"27.075"	"136.221"	"23.034"	"106.876"	"103.778"	"188.518"	"125.703"	"40.673"	"13.07"
"1982"	"0"	"0"	"2.079"	"17.552"	"91.952"	"111.632"	"44.341"	"56.741"	"111.675"	"104.055"	"52.012"	"1.696"
"1983"	"0"	"0"	"0.022"	"5.408"	"129.954"	"199.199"	"83.338"	"127.703"	"145.853"	"63.32"	"13.214"	"63.273"
"1984"	"0.537"	"19.572"	"57.8"	"39.29"	"68.702"	"51.11"	"154.707"	"31.721"	"132.231"	"160.488"	"15.18"	"11.312"
"1985"	"2.962"	"0.088"	"18.419"	"14.412"	"86.584"	"77.573"	"69.112"	"51.405"	"94.863"	"77.871"	"106.822"	"4.575"
"1986"	"16.72"	"12.423"	"0.264"	"13.447"	"90.117"	"121.304"	"58.529"	"72.592"	"295.453"	"110.344"	"98.761"	"16.806"
"1987"	"0.198"	"0"	"22.418"	"60.152"	"95.828"	"79.405"	"49.256"	"110.254"	"66.278"	"153.856"	"40.911"	"50.752"
"1988"	"0"	"1.544"	"0.433"	"84.223"	"202.75"	"32.382"	"206.158"	"169.125"	"261.102"	"15.691"	"39.932"	"28.415"
"1989"	"0.059"	"0"	"5.485"	"9.872"	"95.214"	"108.342"	"180.459"	"45.992"	"173.788"	"229.156"	"12.115"	"4.146"
"1990"	"0.983"	"0.191"	"4.554"	"32.724"	"191.149"	"55.361"	"38.324"	"78.436"	"68.038"	"183.542"	"35.808"	"9.375"
"1991"	"0.033"	"0.022"	"0.256"	"47.795"	"204.381"	"191.572"	"69.05"	"86.444"	"85.195"	"285.118"	"26.568"	"0.32"
"1992"	"0.071"	"0"	"0"	"10.61"	"108.712"	"159.065"	"149.411"	"80.328"	"100.15"	"159.647"	"50.401"	"1.042"
"1993"	"0"	"0.015"	"24.73"	"40.832"	"122.394"	"127.303"	"85.223"	"92.275"	"152.133"	"180.645"	"34.255"	"73.323"
"1994"	"0.434"	"1.41"	"4.868"	"18.343"	"92.136"	"43.557"	"98.224"	"49.76"	"51.714"	"199.805"	"35.93"	"6.666"
"1995"	"16.369"	"0.095"	"15.616"	"36.338"	"170.959"	"90.003"	"96.585"	"162.77"	"158.1"	"174.222"	"19.971"	"0.247"
"1996"	"0.029"	"0.037"	"0.704"	"101.242"	"126.53"	"206.435"	"51.527"	"203.064"	"171.74"	"184.89"	"13.344"	"21.866"
"1997"	"4.441"	"0"	"22.577"	"73.29"	"83.37"	"76.097"	"33.478"	"114.252"	"161.381"	"314.376"	"180.439"	"27.5"
"1998"	"0.029"	"0.176"	"0.19"	"95.813"	"125.056"	"59.412"	"214.568"	"256.596"	"144.877"	"219.25"	"57.153"	"45.443"
"1999"	"0.044"	"10.569"	"0.558"	"77.58"	"226.05"	"73.117"	"99.256"	"68.211"	"100.092"	"194.14"	"67.572"	"5.645"
"2000"	"0.037"	"11.832"	"0.074"	"80.108"	"73.289"	"89.692"	"99.856"	"193.458"	"132.482"	"291.835"	"13.405"	"14.699"
