
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1968"	"0.9785"	"0.0213"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.063"
"1969"	"0.2991"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0909"
"1970"	"0.1944"	"0.0213"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2672"
"1971"	"0.3412"	"0.0205"	"0"	"0"	"0"	"0.0095"	"0"	"0"	"0"	"0"	"0"	"0.2538"
"1972"	"1.0138"	"0.0279"	"0"	"0"	"0.0058"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1973"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1703"
"1974"	"0.942"	"0.0403"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0053"	"0"	"0.1901"
"1975"	"0.8851"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.01"	"0.2677"
"1976"	"1.4246"	"0.0645"	"0"	"0.0088"	"0"	"0"	"0"	"0.0007"	"0"	"0"	"0"	"0"
"1977"	"0.3485"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0872"
"1978"	"0.1805"	"0.0015"	"0"	"0"	"0"	"0.01"	"0"	"0"	"0"	"0"	"0"	"0.0073"
"1979"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1980"	"0.2244"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1981"	"0.1629"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0025"	"0"	"0"	"0"	"0.077"
"1982"	"0.2215"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0066"
"1983"	"0.2127"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0059"
"1984"	"0.0015"	"0.0073"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1985"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1986"	"0.4168"	"0.0015"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1987"	"0.0161"	"0.0337"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1988"	"0.1313"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1989"	"0.2054"	"0.0352"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0022"
"1990"	"0.1101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1991"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1992"	"0.8349"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1115"
"1993"	"0.3984"	"0.0183"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0469"
"1994"	"0.1834"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0682"
"1995"	"0.2784"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1996"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0952"
"1997"	"0.0161"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1998"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1999"	"0.1395"	"0"	"0"	"0"	"0.0042"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0066"
"2000"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0081"
"2001"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0132"
"2002"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
