
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1949"	"0"	"1.0407"	"0.3078"	"2.8373"	"6.2333"	"5.1814"	"8.4522"	"8.3295"	"4.7388"	"7.7545"	"1.9792"	"0.2182"
"1950"	"0"	"1.14"	"0.9007"	"1.2039"	"6.716"	"3.1113"	"7.4978"	"7.3387"	"7.0114"	"8.0241"	"4.3562"	"0.7952"
"1951"	"0"	"0"	"1.2425"	"4.7935"	"5.6989"	"5.1176"	"7.455"	"4.6346"	"7.9031"	"6.3694"	"4.468"	"0.2916"
"1952"	"0.044"	"1.1393"	"0.9528"	"1.4827"	"5.4929"	"3.593"	"6.279"	"5.7224"	"5.2739"	"7.4593"	"0.7163"	"2.1665"
"1953"	"0.2745"	"0.8525"	"0.6948"	"6.3974"	"3.4132"	"5.3644"	"8.1988"	"6.1283"	"6.4147"	"10.6512"	"1.2887"	"0.2329"
"1954"	"0.9999"	"0.0881"	"0.7671"	"5.0374"	"6.9318"	"3.3889"	"8.0993"	"7.5644"	"3.5664"	"10.4383"	"0.9423"	"2.2951"
"1955"	"0.9999"	"0.2507"	"1.0855"	"4.1792"	"9.6043"	"3.7346"	"6.0181"	"4.5934"	"8.2328"	"8.1223"	"2.5252"	"1.5022"
"1956"	"0.8007"	"0.2562"	"0.2507"	"5.29"	"2.7503"	"6.3548"	"6.4599"	"5.0346"	"5.3693"	"11.2291"	"6.2318"	"1.1298"
"1957"	"0"	"0.4689"	"1.2425"	"1.8358"	"7.3692"	"5.9178"	"7.01"	"5.2709"	"4.4773"	"8.8399"	"4.8184"	"0.8778"
"1958"	"0.9999"	"0.7144"	"1.2425"	"4.2693"	"6.2776"	"3.8104"	"6.6005"	"8.4039"	"7.3044"	"8.7144"	"4.5166"	"0.8698"
"1959"	"0"	"1.1283"	"0"	"3.7482"	"5.3105"	"5.9324"	"7.3848"	"5.7537"	"7.8579"	"4.0631"	"3.8053"	"1.8802"
"1960"	"0.2562"	"0.0734"	"1.1889"	"3.3409"	"5.1673"	"4.4483"	"7.5675"	"3.638"	"9.1451"	"6.2929"	"5.3404"	"0.7722"
"1961"	"0.9999"	"1.1298"	"0.5656"	"2.2687"	"6.7923"	"6.6977"	"8.9329"	"6.7299"	"5.3722"	"7.4029"	"3.3128"	"0.9515"
"1962"	"0.4764"	"1.1217"	"1.2559"	"3.7481"	"8.1414"	"3.0118"	"5.8189"	"5.9584"	"7.7258"	"10.7712"	"3.3605"	"2.9632"
"1963"	"0.9999"	"0"	"1.5473"	"3.1875"	"5.291"	"4.1408"	"6.2475"	"7.4178"	"5.6737"	"7.5123"	"3.0584"	"2.7532"
"1964"	"0"	"0"	"0.198"	"1.5495"	"4.6644"	"3.2256"	"9.887"	"7.3319"	"8.1001"	"8.3671"	"5.2088"	"1.4662"
