
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1970"	"16.396"	"17.476"	"20.014"	"21.973"	"20.949"	"20.226"	"20.006"	"19.587"	"19.506"	"19.229"	"17.546"	"15.737"
"1971"	"16.377"	"17.452"	"18.891"	"21.371"	"20.92"	"19.287"	"19.998"	"19.918"	"19.759"	"19.074"	"17.33"	"15.729"
"1972"	"15.184"	"17.571"	"19.087"	"21.671"	"20.703"	"21.67"	"20.255"	"20.423"	"20.333"	"19.793"	"18.535"	"16.91"
"1973"	"16.594"	"18.095"	"20.12"	"22.661"	"22.083"	"20.709"	"20.521"	"19.294"	"19.735"	"19.453"	"17.989"	"16.116"
"1974"	"15.947"	"17.1"	"19.805"	"22.031"	"20.993"	"20.491"	"19.991"	"19.724"	"19.174"	"19.03"	"18.207"	"16.209"
"1975"	"15.757"	"18.408"	"20.026"	"22.258"	"21.185"	"20.029"	"19.451"	"19.708"	"19.122"	"18.881"	"17.255"	"15.806"
"1976"	"14.613"	"16.633"	"19.941"	"20.888"	"21.558"	"21.233"	"20.406"	"19.897"	"20.014"	"20.163"	"18.429"	"17.091"
"1977"	"16.079"	"17.784"	"19.81"	"21.681"	"20.311"	"20.394"	"20.008"	"20.14"	"20.176"	"19.392"	"18.558"	"16.613"
"1978"	"16.3"	"17.605"	"19.66"	"21.632"	"20.906"	"19.469"	"19.4"	"19.547"	"19.584"	"19.891"	"18.701"	"16.739"
"1979"	"16.694"	"18.115"	"19.787"	"21.958"	"21.441"	"20.555"	"18.951"	"19.979"	"19.534"	"19.663"	"18.481"	"17.393"
"1980"	"15.951"	"17.793"	"19.79"	"21.568"	"21.948"	"19.756"	"19.987"	"19.836"	"20.341"	"20.128"	"18.595"	"17.531"
"1981"	"16.719"	"17.946"	"19.571"	"21.81"	"21.385"	"20.023"	"20.621"	"19.524"	"19.593"	"19.767"	"18.326"	"16.366"
"1982"	"15.913"	"18.146"	"20.358"	"21.993"	"21.469"	"20.125"	"20.253"	"20.329"	"20.225"	"20.635"	"18.735"	"16.669"
"1983"	"16.261"	"19.561"	"21.226"	"22.676"	"22.187"	"21.048"	"20.769"	"20.061"	"19.305"	"19.739"	"18.203"	"16.825"
"1984"	"16.709"	"16.849"	"18.65"	"21.025"	"22.257"	"20.036"	"19.68"	"20.039"	"19.928"	"19.398"	"18.238"	"17.136"
"1985"	"16.935"	"18.486"	"20.349"	"21.893"	"21.745"	"19.738"	"19.721"	"20.156"	"20.454"	"19.317"	"17.775"	"17.377"
"1986"	"15.905"	"17.473"	"20.138"	"22.323"	"21.844"	"20.312"	"20.536"	"19.932"	"20.125"	"20.19"	"18.393"	"17.366"
